id,input_data,action,model_type,model,framework/library,github__stars1000,citations,open_source/proprietary,license,inference__times,model_sizemb,model_size_normalizedmb,memory_requirementtraining,memory_requirement_normalized__,hardware_aceelerators,minimum_cpu/gpu/tpu_normalized,detailed__documentation?,documentation_link,institution,institution_numeric,repository_link,paper_link
27,Text, Generate a concise summary of the input text.,Text summarization,tensor2tensor,Tensorflow,12.4,46369.0,Open source,Apache 2.0 license,,16.881,,16-32 GB,,GPU/TPU,1.0,No,N.a,n.a,0.0,n.a,https://proceedings.neurips.cc/paper/7181-attention-is-all-you-need
28,Text, Generate a concise summary of the input text.,Text summarization,PaddleNLP,Paddle,4.8,2286.0,Open source,Apache-2.0 license,,74.543,,16-32 GB,,GPU,1.0,Yes,https://github.com/PaddlePaddle/PaddleNLP.git,n.a,0.0,https://github.com/PaddlePaddle/PaddleNLP.git,https://proceedings.neurips.cc/paper/7181-attention-is-all-you-need
29,Text, Generate a concise summary of the input text.,Text summarization,Bert2Bert Small ,Pytorch,6.0,100480.0,Open source,Apache 2.0 license,2.09,247.0,,16-32 GB,,GPU,,No,,,,https://huggingface.co/mrm8488/bert-small2bert-small-finetuned-cnn_daily_mail-summarization/tree/main,
30,Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,BERT,Tensorflow,73.8,40855.0,Open source,Apache-2.0 license,,594.238,,16-32 GB,,GPU/TPU,1.0,Yes,BERT — transformers 3.0.2 documentation (huggingface.co),Google,1.0,https://github.com/tensorflow/models.git,https://arxiv.org/abs/1810.04805
31,Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,TextCNN,Gluon,2.6,1098.0,Open source,Apache-2.0 license,,135.0,,4-8 GB,,GPU,1.0,Yes,Sentiment Analysis — gluonnlp 0.10.0 documentation,n.a,0.0,,
32,Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,Universal Language Model Fine-tuning for Text Classification,PyTorch,22.4,2676.0,Open source,Apache-2.0 license,,784.379,,8-16 GB,,GPU,1.0,Yes,Welcome to fastai | fastai,Fast ai,1.0,https://github.com/fastai/fastai.git,https://arxiv.org/abs/1801.06146
33,Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,Convolutional Neural Networks for Sentence Classification,Paddle,4.4,49.0,Open source,Apache-2.0 license,,72.294,,4-8 GB,,GPU,1.0,Yes,欢迎使用PaddleNLP — PaddleNLP 文档,Paddle,1.0,https://github.com/PaddlePaddle/PaddleNLP.git,https://uwspace.uwaterloo.ca/handle/10012/9592
34,Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,pyText,PyTorch,6.3,14249.0,,BSD,,8.162,,8-16 GB,,GPU,1.0,, ,Facebook,1.0,facebookresearch/pytext: A natural language modeling framework based on PyTorch (github.com),https://arxiv.org/abs/1408.5882
35,Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,mt-dnn,PyTorch,2.0,156.0,Open source,MIT,,2.053,,16-32 GB,,GPU,1.0,Yes,https://arxiv.org/abs/1911.03437,Namisan,0.0,https://arxiv.org/abs/1911.03437,https://arxiv.org/abs/1911.03437
36,Text,"determine the sentiment (positive, negative, or neutral) expressed in the text.",Sentiment Analysis,DeBERTa,PyTorch,1.0,414.0,Open source,MIT,,0.333,,16-32 GB,,GPU,1.0,Yes,https://deberta.readthedocs.io/en/latest/,Microsoft,1.0,https://github.com/microsoft/DeBERTa.git,https://arxiv.org/abs/2006.03654
37,Text,assign a category or class to the input document based on its content.,Document Classification,Graph Attention Networks_Tensorflow,Tensorflow,0.2,68.0,Open source,Apache-2.0,,5.319,,8-16 GB,,GPU,1.0,Yes,Graph attention network (GAT) for node classification (keras.io),Petar Veličković,0.0,PetarV-/GAT: Graph Attention Networks (https://arxiv.org/abs/1710.10903) (github.com),https://dl.acm.org/doi/abs/10.1145/3308558.3313461
38,Text,assign a category or class to the input document based on its content.,Document Classification,Hierarchical Attention Networks for Document Classification,PyTorch,0.6,4233.0,Open source,Apache-2.1,,0.239,,8-16 GB,,GPU,1.0,No,N.a,EDGE,1.0,https://github.com/EdGENetworks/attention-networks-for-classification.git,
39,Text,assign a category or class to the input document based on its content.,Document Classification,Graph Attention Networks_PyTorch,PyTorch,1.7,3710.0,Open source,Apache-2.0,,18.378,,8-16 GB,,GPU,1.0,Yes,"gordicaleksa/pytorch-GAT: My implementation of the original GAT paper (Veličković et al.). I've additionally included the playground.py file for visualizing the Cora dataset, GAT embeddings, an attention mechanism, and entropy histograms. I've supported both Cora (transductive) and PPI (inductive) examples! (github.com)",Diego Antognini,0.0,"gordicaleksa/pytorch-GAT: My implementation of the original GAT paper (Veličković et al.). I've additionally included the playground.py file for visualizing the Cora dataset, GAT embeddings, an attention mechanism, and entropy histograms. I've supported both Cora (transductive) and PPI (inductive) examples! (github.com)",https://arxiv.org/abs/1710.10903
40,Text,assign a category or class to the input document based on its content.,Document Classification,Graph Convolutional Networks,Tensorflow ,6.4,1230.0,Open source,MIT,,5.208,,8-16 GB,,GPU,1.0,No,N.a,Thomas Kipf,0.0,https://github.com/tkipf/gcn,https://arxiv.org/abs/1603.08861
41,Text,assign a category or class to the input document based on its content.,Document Classification,Specter,PyTorch,0.3,117.0,Open source,Apache-2.0,,0.295,,16-32 GB,,GPU,1.0,No,allenai/specter: SPECTER: Document-level Representation Learning using Citation-informed Transformers (github.com),Allen AI,1.0,allenai/specter: SPECTER: Document-level Representation Learning using Citation-informed Transformers (github.com),https://arxiv.org/abs/2004.07180
42,Text,assign a category or class to the input document based on its content.,Document Classification,DocBert,PyTorch,0.5,235.0,Open source,Apache-2.0,,24.471,,16-32 GB,,GPU,1.0,No,N.a,Castorini,1.0,castorini/hedwig: PyTorch deep learning models for document classification (github.com),https://arxiv.org/abs/1904.08398
43,Text,assign a category or class to the input document based on its content.,Document Classification,GloVe,?,6.0,28966.0,Open source,Apache-2.0,,0.223,,2-4 GB,,CPU,8.0,Yes,https://github.com/stanfordnlp/GloVe.git,Stanford,1.0,https://github.com/stanfordnlp/GloVe.git,https://aclanthology.org/D14-1162.pdf
44,Text,"enerate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,SeqGAN,Tensorflow,2.0,1937.0,Open source,MIT license,,4.215,,8-16 GB,,GPU,1.0,Yes,SeqGAN (TensorFlow) — cotk documentation (thu-coai.github.io),Lantao Yu,0.0,https://github.com/LantaoYu/SeqGAN.git,https://ojs.aaai.org/index.php/AAAI/article/view/10804
45,Text,"enerate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,BART,PyTorch,64.5,2554.0,Open source,Apache-2.0 license,,92.707,,16-32 GB,,GPU,1.0,Yes,BART (huggingface.co),Huggingface,1.0,https://github.com/huggingface/transformers.git,https://arxiv.org/abs/1910.13461
46,Text,"enerate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,Char-rnn-tensorflow,Tensorflow,2.6,3936.0,Open source,MIT license,,0.508,,4-8 GB,,GPU,1.0,No,"sherjilozair/char-rnn-tensorflow: Multi-layer Recurrent Neural Networks (LSTM, RNN) for character-level language models in Python using Tensorflow (github.com)",Sherjil Ozair,0.0,"sherjilozair/char-rnn-tensorflow: Multi-layer Recurrent Neural Networks (LSTM, RNN) for character-level language models in Python using Tensorflow (github.com)",https://arxiv.org/abs/1308.0850
47,Text,"enerate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,Transformers,PyTorch,65.3,46166.0,Open source,Apache-2.0 license,,94.573,,16-32 GB,,GPU,1.0,Yes,PyTorch-Transformers | PyTorch,HuggingFace,1.0,"huggingface/transformers: 🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX. (github.com)",https://arxiv.org/pdf/1910.03771v5.pdf
48,Text,"enerate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,Unified Language Model Pre-Training,PyTorch,5.8,789.0,Open source,MIT license,,11.637,,16-32 GB,,GPU,1.0,No,N.a,Microsoft,1.0,"microsoft/unilm: Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities (github.com)",https://proceedings.neurips.cc/paper/2019/hash/c20bb2d9a50d5ac1f713f8b34d9aac5a-Abstract.html
49,Text,"enerate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,neuraltalk2,PyTorch,5.3,,Open source,BSD licensed,,0.37,,8-16 GB,,GPU,1.0,Yes,https://github.com/karpathy/neuraltalk2.git,Karpathy,0.0,https://github.com/karpathy/neuraltalk2.git,
50,Text,"enerate new text based on the input, such as creative writing, article generation, or dialogue.",Text Generation,fairseq,PyTorch,18.1,1555.0,Open source,MIT license,,22.959,,16-32 GB,,GPU,1.0,Yes,https://github.com/facebookresearch/fairseq.git,Facebook,1.0,https://github.com/facebookresearch/fairseq.git,https://arxiv.org/abs/1610.02424
51,Text,translate the input text into another target language.,Machine translation,Attention is all you need,Tensorflow,73.8,43574.0,Open Source,Apache-2.0 license,,594.0,,16-32 GB,,GPU/TPU,1.0,Yes,tensorflow/tensor2tensor: Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research. (github.com),Google,1.0,tensorflow/tensor2tensor: Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research. (github.com),[1706.03762] Attention Is All You Need (arxiv.org)
52,Text,translate the input text into another target language.,Machine translation,Tensor2tensor,Tensorflow,12.4,43574.0,Open Source,Apache-2.0 license,,16.881,,16-32 GB,,GPU/TPU,1.0,Yes,tensorflow/tensor2tensor: Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research. (github.com),Tensorflow,1.0,tensorflow/tensor2tensor: Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research. (github.com),[1706.03762] Attention Is All You Need (arxiv.org)
53,Text,translate the input text into another target language.,Machine translation,PyTorch-Seq2Seq,PyTorch,1.4,2886.0,Open Source,Apache-2.0 license,,8.362,,8-16 GB,,GPU,1.0,Yes,PyTorch-Seq2seq: A sequence-to-sequence framework for PyTorch — pytorch-seq2seq 0.1.6 documentation (ibm.github.io),IBM,1.0,IBM/pytorch-seq2seq: An open source framework for seq2seq models in PyTorch. (github.com),https://arxiv.org/abs/1705.03122
55,Text,translate the input text into another target language.,Machine translation,nmt-keras,Tensorflow,0.6,25.0,Open Source,MIT,,5.903,,8-16 GB,,GPU,1.0,Yes,https://github.com/lvapeab/nmt-keras.git,Ivapeab,0.0,https://github.com/lvapeab/nmt-keras.git,https://arxiv.org/abs/1807.03096
56,Text,translate the input text into another target language.,Machine translation,sockeye,mxnet,1.1,204.0,Open Source,Apache-2.0 license,,10.018,,8-16 GB,,GPU,1.0,No,N.a,Awslabs,0.0,https://github.com/awslabs/sockeye.git,https://arxiv.org/abs/1712.05690
57,Text,translate the input text into another target language.,Machine translation,marian,?,1.0,408.0,,MIT,,40.84,,8-16 GB,,GPU,1.0,No,N.a,Marian-nmt,0.0,https://github.com/marian-nmt/marian.git,https://arxiv.org/abs/1804.00344
58,Text,translate the input text into another target language.,Machine translation,Fairseq,PyTorch,17.2,1555.0,Open Source,MIT license,,22.242,,16-32 GB,,GPU,1.0,Yes,fairseq documentation — fairseq 0.12.2 documentation,Facebook,1.0,https://github.com/facebookresearch/fairseq.git,https://arxiv.org/abs/1904.01038
60,Text,translate the input text into another target language.,Machine translation,Tensorpack,Tensorflow,6.2,13737.0,Open Source,Apache-2.0 license,,9.066,,8-16 GB,,GPU,1.0,Yes,Tensorpack Documentation — tensorpack 0.11 documentation,Google,1.0,"tensorpack/tensorpack: A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility (github.com)",
61,Text,translate the input text into another target language.,Machine translation,PyTorch-GAN,PyTorch,12.3,2583.0,Open Source,MIT,,69.709,,8-16 GB,,GPU,1.0,No,N.a,Erik Linder-Noren,0.0,eriklindernoren/PyTorch-GAN: PyTorch implementations of Generative Adversarial Networks. (github.com),[1711.09020] StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation (arxiv.org)
62,Text,translate the input text into another target language.,Machine translation,CycleGAN,Tensorflow,11.2,13101.0,Proprietary,BSD,,12.846,,8-16 GB,,GPU,1.0,Yes,CycleGAN  |  TensorFlow Core,Jun-Yan Zhu,0.0,"junyanz/CycleGAN: Software that can generate photos from paintings, turn horses into zebras, perform style transfer, and more. (github.com)",https://arxiv.org/abs/1703.10593
63,Text,translate the input text into another target language.,Machine translation,MUSE,PyTorch,3.0,1295.0,Open Source,Creative Commons Public License,,0.215,,8-16 GB,,GPU,1.0,Yes,https://github.com/facebookresearch/MUSE.git,Facebook,1.0,https://github.com/facebookresearch/MUSE.git,https://arxiv.org/abs/1710.04087
64,Text,translate the input text into another target language.,Machine translation,transformers,PyTorch,66.7,2600.0,Open Source,Apache-2.0 license,0.734,96.081,,16-32 GB,,GPU,1.0,Yes,https://github.com/huggingface/transformers.git,HuggingFace,1.0,https://github.com/huggingface/transformers.git,https://arxiv.org/abs/1907.06616
65,Speech,convert the spoken words into text.,Speech to text,DeepSpeech,Tensorflow,19.6,1907.0,Open source,MPL-2.0 license,,50.672,,8-16 GB,,GPU,1.0,Yes,Welcome to DeepSpeech’s documentation! — Mozilla DeepSpeech 0.9.3 documentation,n.a,0.0,https://github.com/mozilla/DeepSpeech.git,https://arxiv.org/abs/1412.5567
66,Speech,convert the spoken words into text.,Speech to text,"Listen, Attend and Spell",PyTorch,0.2,415.0,Open source,MIT license,,670.0,,8-16 GB,,GPU,1.0,No,N.a,n.a,0.0,https://github.com/kaituoxu/Listen-Attend-Spell.git,https://arxiv.org/abs/1508.01211
67,Speech,convert the spoken words into text.,Speech to text,Neural Collaborative Filtering,Tensorflow,13.3,3579.0,Open source,MIT license,,207.025,,4-8 GB,,GPU,1.0,Yes,microsoft/recommenders: Best Practices on Recommendation Systems (github.com),n.a,0.0,https://github.com/microsoft/recommenders.git,https://dl.acm.org/doi/abs/10.1145/3038912.3052569
68,Speech,convert the spoken words into text.,Speech to text,DeepSpeech 2,Paddle,4.1,2708.0,Open source,Apache-2.0 license,,54.554,,8-16 GB,,GPU,1.0,Yes,PaddleSpeech — paddle speech 2.1 documentation,n.a,0.0,https://github.com/PaddlePaddle/PaddleSpeech.git,http://proceedings.mlr.press/v48/amodei16.html?ref=https://codemonkey.link
69,Speech,convert the spoken words into text.,Speech to text,Fairseq S2T,PyTorch,17.2,74.0,Open source,MIT license,,22.259,,16-32 GB,,GPU,1.0,No,N.a,Facebook,1.0,facebookresearch/fairseq: Facebook AI Research Sequence-to-Sequence Toolkit written in Python. (github.com),https://arxiv.org/abs/2010.05171
70,Speech, convert the written text into spoken audio.,Text to speech,Wavenet,Tensorflow,5.2,802.0,Open source,MIT license,,335.0,,8-16 GB,,GPU,1.0,No,N.a,n.a,0.0,https://github.com/ibab/tensorflow-wavenet.git,https://arxiv.org/abs/1609.03499
71,Speech, convert the written text into spoken audio.,Text to speech,fairseq,PyTorch,29.4,2928.0,Open source,MIT license,,204.0,,16-32 GB,,GPU,1.0,Yes,fairseq documentation — fairseq 0.12.2 documentation,Facebook,0.0,https://github.com/facebookresearch/fairseq,https://arxiv.org/abs/1904.01038
72,Speech, convert the written text into spoken audio.,Text to speech,waveglow,PyTorch,2.0,681.0,Open source,BSD-3-Clause license,,436.0,,8-16 GB,,GPU,1.0,Yes,WaveGlow | PyTorch,n.a,0.0,N.a,https://ieeexplore.ieee.org/abstract/document/8683143/?casa_token=dQrm6Kz_A4MAAAAA:L9ZATCxS86HQ6vam7WDiJwHr9mPPXNZsHTDtZvmygGPc0ZxCKYIqUcbKB5G6ACM3z3ViclUfPxE
73,Speech, convert the written text into spoken audio.,Text to speech,Tacotron,Tensorflow,35.2,1255.0,Open source,MIT,,369.627,,8-16 GB,,GPU,1.0,No,N.a,Corentin Jemine,0.0,CorentinJ/Real-Time-Voice-Cloning: Clone a voice in 5 seconds to generate arbitrary speech in real-time (github.com),https://arxiv.org/abs/1703.10135
74,Speech, convert the written text into spoken audio.,Text to speech,TTS,PyTorch,5.1,254.0,Open source,MPL-2.0,,132.045,,8-16 GB,,GPU,1.0,No,N.a,Coqui-ai,1.0,"coqui-ai/TTS: 🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production (github.com)",https://arxiv.org/abs/1710.08969
75,Speech, convert the written text into spoken audio.,Text to speech,PaddleSpeech,Paddle,4.3,487.0,Open source,Apache License,,56.781,,8-16 GB,,GPU,1.0,Yes,https://github.com/PaddlePaddle/PaddleSpeech.git,Paddle,1.0,https://github.com/PaddlePaddle/PaddleSpeech.git,https://proceedings.neurips.cc/paper/2018/hash/6832a7b24bc06775d02b7406880b93fc-Abstract.html
76,Speech, convert the written text into spoken audio.,Text to speech,TensorflowTTS,Tensorflow,1.0,1035.0,Open source,MIT license,,458.0,,8-16 GB,,GPU,1.0,No,N.a,as-ideas,0.0,https://github.com/as-ideas/TransformerTTS.git,
77,Video/Images,detect and localize objects of interest within the input.,Object detection,SSD,MXNet,4.7,22053.0,Open source,MIT license,,108.865,,8-16 GB,,GPU,1.0,Yes,SSD Inference | Apache MXNet,n.a,0.0,https://github.com/amdegroot/ssd.pytorch.git,https://link.springer.com/chapter/10.1007/978-3-319-46448-0_2
